@PositionInEntry;@Rank;@EarnedPointsTeam;@EarningsTotalTeam;Gender_x;Type;SpikeFault;SpikePoint;ServeFault;ServePoint;ServeTotal;BlockPoint;BlockTotal;DigTotal;ReceptionFault;SpikeTotal;@LocalDate;@LocalTime;FederationCode_y;FirstName;LastName;FirstName2;LastName2;@DurationSet1;@DurationSet2;@DurationSet3;temperature_2m;precipitation;wind_speed_10m;rain;wind_gusts_10m;TeamFault_team;match_win;Team1;Team2;@DurationSet3_indicator
9.916666666666666;8.695652173913043;195.65217391304347;66086.95652173914;0;4;2;13;1;2;21;3;3;0;0;22;2019-06-29;13:00:00;IRI;Arash;Vakili;Bahman;Salemiinjehboroun;960.0;1080.0;660.0;26.3;0.0;2.6;0.0;20.5;10.0;0;A.Vakili/Salemi B.;Bourne/Crabb Tr.;1
9.916666666666666;8.695652173913043;195.65217391304347;66086.95652173914;0;4;7;26;7;2;38;2;2;0;0;48;2019-07-01;15:00:00;IRI;Arash;Vakili;Bahman;Salemiinjehboroun;1320.0;1440.0;;21.6;0.0;30.5;0.0;57.2;25.0;0;A.Vakili/Salemi B.;Thole J./Wickler;0
9.916666666666666;8.695652173913043;195.65217391304347;66086.95652173914;0;4;0;8;1;2;10;0;0;0;0;9;2019-07-02;18:00:00;IRI;Arash;Vakili;;;720.0;780.0;;16.4;0.0;22.9;0.0;47.5;5.0;1;A.Vakili/Salemi B.;Kavalo/Ntagengwa;0
9.916666666666666;8.695652173913043;195.65217391304347;66086.95652173914;0;4;10;17;3;0;23;0;0;0;0;33;2019-07-04;11:00:00;IRI;Arash;Vakili;;;960.0;1080.0;540.0;17.5;0.0;20.9;0.0;41.0;30.0;0;A.Vakili/Salemi B.;Lupo/Nicolai;1
9.916666666666666;8.695652173913043;195.65217391304347;66086.95652173914;0;4;21;33;4;0;45;2;2;0;1;81;2022-06-10;15:00:00;IRI;Arash;Vakili;Bahman;Salemiinjehboroun;1440.0;1140.0;780.0;29.4;0.0;22.6;0.0;49.3;33.0;0;A.Vakili/Salemi B.;Andre/George;1
9.916666666666666;8.695652173913043;195.65217391304347;66086.95652173914;0;4;13;40;6;1;54;2;2;0;0;71;2022-06-11;14:00:00;IRI;Arash;Vakili;Bahman;Salemiinjehboroun;1440.0;1320.0;960.0;31.5;0.0;11.8;0.0;25.9;42.0;0;A.Vakili/Salemi B.;Samoilovs/Smedins;1
9.916666666666666;8.695652173913043;195.65217391304347;66086.95652173914;0;4;10;14;6;3;32;2;2;0;1;43;2022-06-13;15:00:00;IRI;Arash;Vakili;Bahman;Salemiinjehboroun;1140.0;1260.0;;30.1;0.0;17.4;0.0;37.4;15.0;0;A.Vakili/Salemi B.;Dressler/Huber, A.;0
35.666666666666664;13.0;313.3333333333333;233333.3333333333;0;51;5;15;1;0;35;6;14;9;5;34;2023-02-02;17:00:00;QAT;Assam Ahmed;Mahmoud;Abdallah;Ibrahim Nassim;1074.0;938.0;;19.0;0.0;7.9;0.0;16.2;10.0;0;Abdallah/M. Essam;Brouwer/Meeuwsen;0
35.666666666666664;13.0;313.3333333333333;233333.3333333333;0;51;9;15;3;1;21;2;7;11;3;43;2023-02-02;21:00:00;QAT;Assam Ahmed;Mahmoud;Abdallah;Ibrahim Nassim;832.0;828.0;;17.8;0.0;16.9;0.0;24.1;18.0;0;Abdallah/M. Essam;Gavira/Herrera;0
35.666666666666664;13.0;313.3333333333333;233333.3333333333;0;51;7;19;6;0;26;3;16;18;1;50;2023-02-03;21:30:00;QAT;Assam Ahmed;Mahmoud;Abdallah;Ibrahim Nassim;924.0;903.0;;15.9;0.0;20.6;0.0;31.3;9.0;0;Abdallah/M. Essam;Grimalt E./Grimalt M.;0
16.583333333333332;9.9;246.0;21500.0;0;52;13;9;8;1;28;3;3;0;3;33;2022-05-06;15:50:00;QAT;Mohamed Ihab;Zaki;Abdallah;Ibrahim Nassim;960.0;840.0;;31.9;0.0;22.3;0.0;37.4;18.0;0;Abdallah/M. Ihab;Bryl/Łosiak;0
