SpikeFault;SpikePoint;ServeFault;ServePoint;ServeTotal;BlockPoint;BlockTotal;DigTotal;ReceptionFault;SpikeTotal;temperature_2m;precipitation;wind_speed_10m;rain;wind_gusts_10m;TeamFault_team;Team1;Team2
13;17;6;1;25;3;3;0;0;45;20.3;0.0;11.2;0.0;24.1;23.0;Gonzalez/Reyes;Mol, A./Sørum, C.
5;23;1;0;41;5;5;0;1;34;20.3;0.0;11.2;0.0;24.1;17.0;Mol, A./Sørum, C.;Gonzalez/Reyes
5;20;2;3;41;7;7;0;0;35;18.7;0.0;10.5;0.0;22.3;23.0;Pedro Solberg/Vitor Felipe;Erdmann/Winter
9;27;7;0;35;0;0;0;3;47;18.7;0.0;10.5;0.0;22.3;27.0;Erdmann/Winter;Pedro Solberg/Vitor Felipe
8;15;5;1;32;3;3;0;0;37;22.3;0.0;11.2;0.0;25.9;29.0;Abicha/Elgraoui;Fijalek/Bryl
7;22;7;3;41;3;3;0;0;37;22.3;0.0;11.2;0.0;25.9;17.0;Fijalek/Bryl;Abicha/Elgraoui
12;29;7;0;36;1;1;0;1;50;22.3;0.0;11.2;0.0;25.9;32.0;Bergmann/Harms, Y.;Plavins/Tocs
1;22;2;1;41;5;5;0;0;33;22.3;0.0;11.2;0.0;25.9;22.0;Plavins/Tocs;Bergmann/Harms, Y.
9;10;5;1;24;1;1;0;1;36;22.3;0.0;9.4;0.0;24.5;10.0;Gottsu/Ageba;Stoyanovskiy/Krasilnikov
2;22;5;3;40;2;2;0;0;34;22.3;0.0;9.4;0.0;24.5;26.0;Stoyanovskiy/Krasilnikov;Gottsu/Ageba
7;25;8;7;42;3;3;0;1;46;22.3;0.0;11.2;0.0;25.9;12.0;Doppler/Horst;Ranghieri/Caminati
5;19;2;1;36;3;3;0;5;36;22.3;0.0;11.2;0.0;25.9;21.0;Ranghieri/Caminati;Doppler/Horst
10;33;3;0;51;6;6;0;0;74;21.3;0.0;11.2;0.0;24.8;33.0;Rossi/Carambula;Cherif/Ahmed
13;42;5;1;58;7;7;0;0;72;21.3;0.0;11.2;0.0;24.8;45.0;Cherif/Ahmed;Rossi/Carambula
6;21;11;1;32;3;3;0;5;41;22.0;0.0;10.7;0.0;26.3;11.0;Koekelkoren/van Walle;Perusic/Schweiner
5;18;3;5;40;1;1;0;1;34;22.0;0.0;10.7;0.0;26.3;17.0;Perusic/Schweiner;Koekelkoren/van Walle
6;16;4;1;30;1;1;0;0;36;21.1;0.0;8.2;0.0;26.3;31.0;Tamer/M. Essam;Semenov/Leshukov
