SpikePoint;ServeFault;ServePoint;ServeTotal;BlockPoint;BlockTotal;DigTotal;ReceptionFault;@PointsTeamASet1;@PointsTeamBSet1;@PointsTeamASet2;@PointsTeamBSet2;@DurationSet1;@DurationSet2;temperature_2m;precipitation;wind_speed_10m;rain;wind_gusts_10m;TeamFault_team;match_win;total_A;total_B;Team1;Team2
17;6;1;25;3;3;0;0;21.0;10.0;21.0;14.0;900.0;1020.0;20.3;0.0;11.2;0.0;24.1;23.0;0;2;0;Gonzalez/Reyes;Mol, A./Sørum, C.
23;1;0;41;5;5;0;1;21.0;10.0;21.0;14.0;900.0;1020.0;20.3;0.0;11.2;0.0;24.1;17.0;1;2;0;Mol, A./Sørum, C.;Gonzalez/Reyes
20;2;3;41;7;7;0;0;21.0;18.0;21.0;16.0;1380.0;1260.0;18.7;0.0;10.5;0.0;22.3;23.0;1;2;0;Pedro Solberg/Vitor Felipe;Erdmann/Winter
27;7;0;35;0;0;0;3;21.0;18.0;21.0;16.0;1380.0;1260.0;18.7;0.0;10.5;0.0;22.3;27.0;0;2;0;Erdmann/Winter;Pedro Solberg/Vitor Felipe
15;5;1;32;3;3;0;0;21.0;15.0;21.0;16.0;1189.0;141.0;22.3;0.0;11.2;0.0;25.9;29.0;0;2;0;Abicha/Elgraoui;Fijalek/Bryl
22;7;3;41;3;3;0;0;21.0;15.0;21.0;16.0;1189.0;141.0;22.3;0.0;11.2;0.0;25.9;17.0;1;2;0;Fijalek/Bryl;Abicha/Elgraoui
29;7;0;36;1;1;0;1;21.0;19.0;21.0;16.0;1753.0;563.0;22.3;0.0;11.2;0.0;25.9;32.0;0;2;0;Bergmann/Harms, Y.;Plavins/Tocs
22;2;1;41;5;5;0;0;21.0;19.0;21.0;16.0;1753.0;563.0;22.3;0.0;11.2;0.0;25.9;22.0;1;2;0;Plavins/Tocs;Bergmann/Harms, Y.
10;5;1;24;1;1;0;1;21.0;10.0;21.0;13.0;840.0;840.0;22.3;0.0;9.4;0.0;24.5;10.0;0;2;0;Gottsu/Ageba;Stoyanovskiy/Krasilnikov
22;5;3;40;2;2;0;0;21.0;10.0;21.0;13.0;840.0;840.0;22.3;0.0;9.4;0.0;24.5;26.0;1;2;0;Stoyanovskiy/Krasilnikov;Gottsu/Ageba
25;8;7;42;3;3;0;1;21.0;18.0;21.0;15.0;1679.0;552.0;22.3;0.0;11.2;0.0;25.9;12.0;1;2;0;Doppler/Horst;Ranghieri/Caminati
19;2;1;36;3;3;0;5;21.0;18.0;21.0;15.0;1679.0;552.0;22.3;0.0;11.2;0.0;25.9;21.0;0;2;0;Ranghieri/Caminati;Doppler/Horst
33;3;0;51;6;6;0;0;19.0;21.0;21.0;14.0;1020.0;1500.0;21.3;0.0;11.2;0.0;24.8;33.0;0;2;1;Rossi/Carambula;Cherif/Ahmed
42;5;1;58;7;7;0;0;19.0;21.0;21.0;14.0;1020.0;1500.0;21.3;0.0;11.2;0.0;24.8;45.0;1;2;1;Cherif/Ahmed;Rossi/Carambula
21;11;1;32;3;3;0;5;18.0;21.0;11.0;21.0;1116.0;144.0;22.0;0.0;10.7;0.0;26.3;11.0;0;0;2;Koekelkoren/van Walle;Perusic/Schweiner
18;3;5;40;1;1;0;1;18.0;21.0;11.0;21.0;1116.0;144.0;22.0;0.0;10.7;0.0;26.3;17.0;1;0;2;Perusic/Schweiner;Koekelkoren/van Walle
16;4;1;30;1;1;0;0;21.0;15.0;21.0;14.0;840.0;840.0;21.1;0.0;8.2;0.0;26.3;31.0;0;2;0;Tamer/M. Essam;Semenov/Leshukov
27;10;5;41;0;0;0;0;21.0;15.0;21.0;14.0;840.0;840.0;21.1;0.0;8.2;0.0;26.3;15.0;1;2;0;Semenov/Leshukov;Tamer/M. Essam
36;2;0;54;7;7;0;0;19.0;21.0;21.0;15.0;1200.0;1200.0;21.9;0.0;8.9;0.0;24.1;27.0;1;2;1;Alison/Álvaro Filho;Allen/Slick
33;5;0;47;8;9;0;0;19.0;21.0;21.0;15.0;1200.0;1200.0;21.9;0.0;8.9;0.0;24.1;28.0;0;2;1;Allen/Slick;Alison/Álvaro Filho
26;8;3;52;2;2;0;0;23.0;21.0;19.0;21.0;1200.0;1020.0;17.8;0.0;9.0;0.0;23.8;40.0;0;2;1;Saxton/O'Gorman;Brouwer/Meeuwsen
39;10;3;56;4;4;0;0;23.0;21.0;19.0;21.0;1200.0;1020.0;17.8;0.0;9.0;0.0;23.8;33.0;1;2;1;Brouwer/Meeuwsen;Saxton/O'Gorman
14;3;0;31;4;4;0;0;21.0;17.0;21.0;13.0;960.0;780.0;25.6;0.0;6.7;0.0;20.9;17.0;0;2;0;Vieyto/Cairus;Gibb/Crabb
23;5;0;41;8;8;0;0;21.0;17.0;21.0;13.0;960.0;780.0;25.6;0.0;6.7;0.0;20.9;25.0;1;2;0;Gibb/Crabb;Vieyto/Cairus
26;5;1;43;2;2;0;0;21.0;10.0;23.0;21.0;780.0;1320.0;25.6;0.0;6.7;0.0;20.9;26.0;1;2;0;Kantor/Łosiak;Hudyakov/Velichko
20;3;0;32;3;3;0;1;21.0;10.0;23.0;21.0;780.0;1320.0;25.6;0.0;6.7;0.0;20.9;20.0;0;2;0;Hudyakov/Velichko;Kantor/Łosiak
22;1;10;40;1;1;0;0;21.0;12.0;21.0;4.0;840.0;600.0;27.5;0.0;3.9;0.0;7.6;32.0;1;2;0;Nicolai/Lupo;Soares/Nguvo
11;1;0;18;0;0;0;0;21.0;12.0;21.0;4.0;840.0;600.0;27.5;0.0;3.9;0.0;7.6;12.0;0;2;0;Soares/Nguvo;Nicolai/Lupo
34;7;7;55;3;3;0;0;21.0;19.0;13.0;21.0;1080.0;960.0;27.5;0.0;3.9;0.0;7.6;34.0;0;2;1;Seidl, R./Waller;Andre/George
21;3;0;49;6;6;0;7;21.0;19.0;13.0;21.0;1080.0;960.0;27.5;0.0;3.9;0.0;7.6;23.0;1;2;1;Andre/George;Seidl, R./Waller
25;4;1;46;5;6;0;0;21.0;17.0;26.0;24.0;1200.0;1560.0;28.2;0.0;1.8;0.0;14.0;31.0;1;2;0;Herrera/Gavira;Tigrito/Charly
27;6;2;42;2;2;0;0;21.0;17.0;26.0;24.0;1200.0;1560.0;28.2;0.0;1.8;0.0;14.0;29.0;0;2;0;Tigrito/Charly;Herrera/Gavira
28;3;2;52;1;1;0;3;19.0;21.0;21.0;15.0;1260.0;1200.0;27.5;0.0;2.1;0.0;14.8;41.0;0;2;1;Durant/Schumann;Evandro/Bruno Schmidt
41;10;4;57;3;3;0;2;19.0;21.0;21.0;15.0;1260.0;1200.0;27.5;0.0;2.1;0.0;14.8;29.0;1;2;1;Evandro/Bruno Schmidt;Durant/Schumann
17;2;0;32;4;4;0;1;17.0;21.0;14.0;21.0;1260.0;1200.0;28.8;0.0;1.9;0.0;10.1;27.0;0;0;2;Grimalt M./Grimalt E.;Ehlers/Flüggen
